Mercedes-Benz G-класс AMG,"$70000, 5831700сом","2013г.,5.5л.,автомат,внедорожник5дв.,бензин,рульслева,170000км",https://im.mashina.kg/tachka/images//a/f/8/af811f0be4bec1e2bf9a806a81ee98c3_240x180.jpg ; https://im.mashina.kg/tachka/images//9/4/6/9469715ae1d471cda242b5753b595f1d_240x180.jpg ; https://im.mashina.kg/tachka/images//4/f/c/4fc3a0704370a369def55ae64b1bb8d9_240x180.jpg ; https://im.mashina.kg/tachka/images//2/0/b/20b08f14643417084820c9f97aba651e_240x180.jpg ; https://im.mashina.kg/tachka/images//8/1/4/814e953b2e780a124ded4c8b3d25ad84_240x180.jpg
Toyota Camry,"$27300, 2274363сом","2018г.,2.5л.,автомат,седан,бензин,рульслева,35000км",https://im.mashina.kg/tachka/images//a/c/e/ace28ec6632fc6bf39b0f54667487815_240x180.jpg ; https://im.mashina.kg/tachka/images//e/3/7/e3716353888f524975e64b2388436c81_240x180.jpg ; https://im.mashina.kg/tachka/images//f/1/e/f1eaa4465a49b16812c22732a2aee767_240x180.jpg ; https://im.mashina.kg/tachka/images//8/0/d/80da2512001e39b6b8fb296252eec4b2_240x180.jpg ; https://im.mashina.kg/tachka/images//5/0/c/50c7e0d48413bb35d1bec70d73677093_240x180.jpg
Subaru Outback,"$18700, 1557897сом","2015г.,2.5л.,вариатор,универсал,бензин,рульслева,138000км",https://im.mashina.kg/tachka/images//1/3/c/13cbb48400c72fe20e3d1da634b7b3f1_240x180.jpg ; https://im.mashina.kg/tachka/images//4/5/a/45af3b0a2b7a9549cb9dcd7baf303ce2_240x180.jpg ; https://im.mashina.kg/tachka/images//8/3/a/83a3d0c750501944a9cf65b943185c3b_240x180.jpg ; https://im.mashina.kg/tachka/images//b/a/0/ba09a2e06ac8872414f64dd3f1a9dfd3_240x180.jpg
Lexus IS,"$25000, 2082750сом","2014г.,3.5л.,автомат,седан,бензин,рульслева,82000км",https://im.mashina.kg/tachka/images//2/3/2/2323ccc99429c490a0facafbf752c0d8_240x180.jpg ; https://im.mashina.kg/tachka/images//f/2/8/f28ff21a21a7c644c56ceeda1aec995d_240x180.jpg ; https://im.mashina.kg/tachka/images//1/b/9/1b967a8335d493c6c6f864aa9096342c_240x180.jpg ; https://im.mashina.kg/tachka/images//9/8/0/980ab04541e6ea8965df89853b8d7cc1_240x180.jpg ; https://im.mashina.kg/tachka/images//5/8/b/58bdd1868e9090861116e6fdb21aafa8_240x180.jpg
BMW 3 Серия,"$10900, 908079сом","2003г.,2.2л.,автомат,седан,бензин,рульслева,97000км",https://im.mashina.kg/tachka/images//5/d/3/5d3321ff248f6c525a697ac847f7e46c_240x180.jpg ; https://im.mashina.kg/tachka/images//b/6/e/b6eea487cfae6e36a59675d1e38ba86d_240x180.jpg ; https://im.mashina.kg/tachka/images//8/d/6/8d61db57f0f9e692588ea40843f036a1_240x180.jpg ; https://im.mashina.kg/tachka/images//a/3/6/a360cab159c2d211d2872846a583dd90_240x180.jpg ; https://im.mashina.kg/tachka/images//5/9/3/5930dbcac59f5143e4a6303d3eca6bcb_240x180.jpg
Mercedes-Benz CLS-класс,"$30000, 2499300сом","2011г.,3.5л.,автомат,седан,бензин,рульслева,97000км",https://im.mashina.kg/tachka/images//8/1/c/81cec4f28d7111a12f358db06e016687_240x180.jpg ; https://im.mashina.kg/tachka/images//1/1/2/112a653ca5877349e7c5c1bf6d1a63d8_240x180.jpg ; https://im.mashina.kg/tachka/images//7/a/1/7a1ccc3e45b386dd6d09bdbe1bf69a42_240x180.jpg ; https://im.mashina.kg/tachka/images//a/1/3/a13b0c97ff79601fc97c4d116500b870_240x180.jpg ; https://im.mashina.kg/tachka/images//d/7/a/d7a47599b206c134a5919a7f8727d1a4_240x180.jpg
BAIC EC3,"$13473, 1122436сом","2021г.,автомат,хэтчбек5дв.,электро,рульслева,14073км",https://im.mashina.kg/tachka/images//9/0/5/905cbebbce4181ed446903294078894f_240x180.jpg ; https://im.mashina.kg/tachka/images//f/5/d/f5de3fe1440c85ed39f38a4234608b98_240x180.jpg ; https://im.mashina.kg/tachka/images//6/1/6/616d89a31bb106709a5a386690b4fa99_240x180.jpg ; https://im.mashina.kg/tachka/images//6/9/3/69307d8d539658288f357f0bfff656fb_240x180.jpg ; https://im.mashina.kg/tachka/images//a/f/1/af18b63453782da1d9aaa6a2260e899a_240x180.jpg
Mercedes-Benz W124,"$4201, 350000сом","1991г.,2.3л.,механика,седан,бензин,рульслева",https://im.mashina.kg/tachka/images//4/e/b/4eb89d9db14772a903ee55fe624ff70a_240x180.jpg ; https://im.mashina.kg/tachka/images//4/4/c/44cbbab1c6798fbc692f9bfe9c170d9d_240x180.jpg ; https://im.mashina.kg/tachka/images//6/e/c/6ec96b1e2e140bb425d0077702cec228_240x180.jpg ; https://im.mashina.kg/tachka/images//f/d/9/fd95fa17c118722de28d98c20f96294c_240x180.jpg ; https://im.mashina.kg/tachka/images//5/7/d/57df17bcca96e0b7fb9a071f0047f702_240x180.jpg
Land Rover Range Rover,"$11500, 958065сом","2007г.,4.2л.,автомат,внедорожник5дв.,бензин,рульслева",https://im.mashina.kg/tachka/images//c/c/d/ccd689f163ae6910ae17a0515e9e801d_240x180.jpg ; https://im.mashina.kg/tachka/images//b/3/e/b3eed0a5e8bcc7598e922f0417196d1a_240x180.jpg ; https://im.mashina.kg/tachka/images//1/5/4/1540543f33b2c598cb03d94e54906597_240x180.jpg ; https://im.mashina.kg/tachka/images//4/0/b/40b6000d07aa31de21e632cb11a45d70_240x180.jpg ; https://im.mashina.kg/tachka/images//9/0/1/901ffeb56209701dbc75d33d4aa955a1_240x180.jpg
Hyundai Getz,"$5200, 433212сом","2008г.,1.4л.,механика,хэтчбек5дв.,бензин,рульслева,128000км",https://im.mashina.kg/tachka/images//1/7/2/172552544586b511a921d4a8015b26c0_240x180.jpg ; https://im.mashina.kg/tachka/images//6/2/e/62e73d370f1788cd52417827ba426cff_240x180.jpg ; https://im.mashina.kg/tachka/images//e/8/a/e8af91672e48ece6e8878734983630d0_240x180.jpg ; https://im.mashina.kg/tachka/images//d/b/8/db82beece1f71ae139dfdb65f7201c13_240x180.jpg ; https://im.mashina.kg/tachka/images//e/b/5/eb50fd19c696a78ead771e870e305214_240x180.jpg
Hyundai Elantra,"$12900, 1074699сом","2017г.,2л.,автомат,седан,бензин,рульслева,129000км",https://im.mashina.kg/tachka/images//1/7/b/17b30b1efc3ba65eabbd0d3526aec307_240x180.jpg ; https://im.mashina.kg/tachka/images//6/5/1/651c41725bc80aeeee788591b8a526f0_240x180.jpg ; https://im.mashina.kg/tachka/images//f/3/f/f3f0a6207be173723700e133290d9ef8_240x180.jpg ; https://im.mashina.kg/tachka/images//a/8/c/a8cb6182bdbe07603765b21aed05b3ea_240x180.jpg ; https://im.mashina.kg/tachka/images//8/6/a/86ae387eaf5231b890e77447b3e26e1f_240x180.jpg
